Channel Number	Receive Frequency	Transmit Frequency	Offset Frequency	Offset Direction	Operating Mode	Name	Show Name	Tone Mode	CTCSS	DCS	Comment
132	446.05	446.050000	0		FM		WD5M	Tone	110.9	0	
133	145.25	144.650000	0.6	Minus	FM		W0BOD	Tone	103.5	0	
134	147.04	147.640000	0.6	Plus	FM		W5URH	Tone	110.9	0	
135	146.9	146.300000	0.6	Minus	FM		KG5CW	Tone	110.9	0	
136	145.26	144.660000	0.6	Minus	FM	Patrick Parks	K5RNB	Tone	100	0	IRLP node #3751; Antenna is DB224-E with main lobe at 270 degrees true. Field strength map depicts omni antenna coverage. Coverage maps located at www.k5rnb.com.
137	146.92	146.320000	0.6	Minus	FM		W5NGU	Tone	110.9	0	
138	146.98	146.380000	0.6	Minus	FM		K5JEJ	None	0	0	
139	444.825	449.825000	5	Plus	FM		W5OYS	Tone	110.9	0	
140	442.925	447.925000	5	Plus	FM		W5FKN	Tone	110.9	0	
141	146.78	146.180000	0.6	Minus	FM		W5FB	Tone	131.8	0	
142	444.4	449.400000	5	Plus	FM		KA5PQK	Tone	156.7	0	
143	146.62	146.020000	0.6	Minus	FM		KJ5HO	Tone	131.8	0	
144	441.925	446.925000	5	Plus	FM		KJ5HO	Tone	173.8	0	
145	145.49	144.890000	0.6	Minus	FM		WD5U	Tone	85.4	0	
