RepeaterID,trustee,operator,output_freq,offset,offset_freq,pl,dcs,Club,Descr,lng,lat,City,State,ZIP,range,Notes,Tags,rpt_type,LastUpdate,Country,rxheight,rxgain,txheight,txgain,txpower
"14564","AB5RM","",145.31,"-",-0.6,162.2,0,"Mesquite Ham Radio ASSN","",-96.6346988081932,32.762814541782,"Mesquite","TX","75149",50,"",""," ","2010-01-04 22:00:48","USA",320,0,320,0,50
"5311","N5VAV","",442.825,"+",5,110.9,0,"","",-97.142778,32.843889,"Bedford","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5310","KA5SYL","",442.3,"+",5,103.5,0,"","",-97.142778,32.843889,"Bedford","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5817","W7YC","",444.575,"+",5,110.9,0,"","",-97.254444,32.857778,"Watauga","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5818","W5URH","",444.625,"+",5,110.9,0,"","",-97.254444,32.857778,"Watauga","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"12936","W5FA","",145.37,"-",-0.6,110.9,0,"","",-97.217958,32.860079,"North Richland","TX","",30,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"12826","WA5CKF","",146.72,"-",-0.6,110.9,0,"","",-96.948611,32.813889,"Irving","TX","",30,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5404","W5EBQ","",441.925,"+",5,0,0,"","",-96.8,32.783333,"Dallas","TX","",55,"",""," ","2010-12-24 15:41:43","USA",921,6,921,6,100
"12745","K5QHD","K5QHD",146.66,"-",-0.6,110.9,0,"Garland ARC","Garland Amateur Radio Club",-96.5936,32.8523,"Garland","TX","75040",50,"",""," ","2011-07-06 10:12:37","USA",400,12,400,0,40
"5643","KA5PQK","",444.425,"+",5,156.7,0,"","",-96.598889,32.766667,"Mesquite","TX","",50,"",""," ","2010-09-18 16:06:58","USA",0,0,0,0,0
"5370","N5SVZ","",442.95,"+",5,110.9,0,"","",-97.154722,32.880833,"Colleyville","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
